Date,Symbol,Type,Quantity,Price,Commission,Market_Impact,Notes
2020-01-01,AAPL,Buy,193.56587046571948,258.31,50.0,814.0169943749476,Initial purchase
2020-01-01,MSFT,Buy,23.583459504841684,2120.13,50.0,814.0169943749476,Initial purchase
2020-01-01,GOOGL,Buy,1.6063926717651429,31125.64,50.0,814.0169943749476,Initial purchase
2020-01-01,AMZN,Buy,5.821406242177486,8588.99,50.0,814.0169943749476,Initial purchase
2020-01-01,TSLA,Buy,0.5416004966259914,92318.97,50.0,814.0169943749476,Initial purchase
2020-01-01,META,Buy,90.852927281317,550.34,50.0,814.0169943749476,Initial purchase
2020-01-01,NVDA,Buy,3.484587668741158,14348.9,50.0,814.0169943749476,Initial purchase
2020-01-01,CRM,Buy,116.6806683468683,428.52,50.0,814.0169943749476,Initial purchase
2020-01-01,ORCL,Buy,89.83273145403258,556.59,50.0,814.0169943749476,Initial purchase
2020-01-01,ADBE,Buy,50.03101923192379,999.38,50.0,814.0169943749476,Initial purchase
2020-01-01,INTC,Buy,882.7683615819209,56.64,50.0,814.0169943749476,Initial purchase
2020-01-01,AMD,Buy,19.47882456981016,2566.89,50.0,814.0169943749476,Initial purchase
2020-01-01,JPM,Buy,106.29703643862409,470.38,50.0,814.0169943749476,Initial purchase
2020-01-01,BAC,Buy,532.3112956456936,93.93,50.0,814.0169943749476,Initial purchase
2020-01-01,WFC,Buy,152.37398671298837,328.14,50.0,814.0169943749476,Initial purchase
2020-01-01,GS,Buy,39.41197335750601,1268.65,50.0,814.0169943749476,Initial purchase
2020-01-01,MS,Buy,386.010962711341,129.53,50.0,814.0169943749476,Initial purchase
2020-01-01,C,Buy,98.57266777068054,507.24,50.0,814.0169943749476,Initial purchase
2020-01-01,BRK-B,Buy,68.77673695649183,726.99,50.0,814.0169943749476,Initial purchase
2020-01-01,AXP,Buy,189.06450881040612,264.46,50.0,814.0169943749476,Initial purchase
