,Close,Volume
2015-01-01,100.0,0
2015-01-02,100.35071765565797,0
2015-01-03,100.47461703391922,0
2015-01-04,99.63246359089094,0
2015-01-05,100.13963616512225,0
2015-01-06,99.70136172284168,0
2015-01-07,99.46335854678323,0
2015-01-08,99.50822662660383,0
2015-01-09,99.41368126877244,0
2015-01-10,98.54876373238884,0
2015-01-11,98.14581202502364,0
2015-01-12,98.7702239078705,0
2015-01-13,99.24675458361224,0
2015-01-14,99.7380525846941,0
2015-01-15,99.91415899806752,0
2015-01-16,100.38680891458722,0
2015-01-17,100.60513185151356,0
2015-01-18,100.57466085400615,0
2015-01-19,101.3579681717367,0
2015-01-20,101.2797645390612,0
2015-01-21,100.881484400404,0
2015-01-22,101.69633052805489,0
2015-01-23,102.53097974179768,0
2015-01-24,101.63212576463351,0
2015-01-25,102.09787848067926,0
2015-01-26,100.91541830953913,0
2015-01-27,101.64279140261756,0
2015-01-28,101.14266455613645,0
2015-01-29,101.6960814260521,0
2015-01-30,101.39103126997642,0
2015-01-31,101.66794566777035,0
2015-02-01,100.89461559845738,0
2015-02-02,100.79539711734853,0
2015-02-03,100.83093828568084,0
2015-02-04,101.49120599386283,0
2015-02-05,102.67177305324542,0
2015-02-06,103.10657856285341,0
2015-02-07,103.3661462762476,0
2015-02-08,102.79886673285506,0
2015-02-09,101.99356771133455,0
2015-02-10,102.18399749725768,0
2015-02-11,102.34099572997746,0
2015-02-12,102.79143159341828,0
2015-02-13,103.30436297945877,0
2015-02-14,103.60406395093804,0
2015-02-15,102.76239248164696,0
2015-02-16,103.39244106237311,0
2015-02-17,103.40048017847411,0
2015-02-18,102.87827563583893,0
2015-02-19,102.69388002831603,0
2015-02-20,101.90163857692158,0
2015-02-21,101.76248327336445,0
2015-02-22,102.29861298026204,0
2015-02-23,102.16908218501366,0
2015-02-24,101.71074382354513,0
2015-02-25,101.62462426624693,0
2015-02-26,101.98112568506323,0
2015-02-27,101.22458843342126,0
2015-02-28,100.67456730936787,0
2015-03-01,100.82391629975793,0
2015-03-02,100.1364697039938,0
2015-03-03,101.39372361570899,0
2015-03-04,101.3721284422775,0
2015-03-05,100.88966848166694,0
2015-03-06,100.46394640235945,0
2015-03-07,100.24243031401441,0
2015-03-08,99.96897051812302,0
2015-03-09,98.78298001522938,0
2015-03-10,99.61193562027779,0
2015-03-11,99.67377908476483,0
2015-03-12,99.72848794012583,0
2015-03-13,100.29458370621775,0
2015-03-14,99.72818448320787,0
2015-03-15,99.3428187723541,0
2015-03-16,99.68918142770374,0
2015-03-17,99.7215820728933,0
2015-03-18,100.00119967478958,0
2015-03-19,100.02419889848133,0
2015-03-20,99.94966423234615,0
2015-03-21,100.89194312881722,0
2015-03-22,101.61688114481022,0
2015-03-23,100.16440491238048,0
2015-03-24,101.13733609618795,0
2015-03-25,102.53953230657706,0
2015-03-26,103.38002756619092,0
2015-03-27,103.31989577680854,0
2015-03-28,102.96368882294762,0
2015-03-29,103.49178080500099,0
2015-03-30,103.17872752451538,0
2015-03-31,103.47508313626783,0
2015-04-01,103.53531929307162,0
2015-04-02,104.37531134208471,0
2015-04-03,104.20417868396055,0
2015-04-04,103.99977127744788,0
2015-04-05,104.31240442327491,0
2015-04-06,105.61488679163591,0
2015-04-07,105.74211852814281,0
2015-04-08,105.55151000113196,0
2015-04-09,106.17610231109207,0
2015-04-10,106.71440730810511,0
2015-04-11,106.1779543311847,0
2015-04-12,105.90986425171913,0
2015-04-13,106.69068611016894,0
2015-04-14,107.04363211713837,0
