Date,Symbol,Type,Quantity,Price,Commission,Market_Impact,Notes
2020-01-01,AAPL,Buy,39.078012013733655,258.31,10.09424128326754,61.9072671210533,Initial purchase
2020-01-01,MSFT,Buy,27.680577749149034,2120.13,58.68642330330334,1061.125814113375,Initial purchase
2020-01-01,GOOGL,Buy,1.6971988189002252,31125.64,52.82639944551361,891.4263199264666,Initial purchase
2020-01-01,AMZN,Buy,1.4454293452243467,8588.99,12.414778191838462,85.81788667436365,Initial purchase
2020-01-01,TSLA,Buy,1.1117183827702177,92318.97,102.63269602741224,2707.59817514719,Initial purchase
2020-01-01,META,Buy,8.795208903188877,550.34,4.840355267780967,19.66475943671994,Initial purchase
2020-01-01,NVDA,Buy,10.709395492060702,14348.9,153.66804497602982,5388.686932251001,Initial purchase
2020-01-01,CRM,Buy,201.65444964110088,428.52,86.41296476020455,2025.4626511455751,Initial purchase
2020-01-01,ORCL,Buy,91.86631070646993,556.59,51.1318698761141,844.6660520126192,Initial purchase
2020-01-01,ADBE,Buy,122.71195225155397,999.38,122.63587084115801,3663.5368671546958,Initial purchase
2020-01-01,INTC,Buy,993.3249048383902,56.64,56.261922610046426,989.4216181622254,Initial purchase
2020-01-01,AMD,Buy,3.614443977884022,2566.89,9.277880102390716,54.21877771234324,Initial purchase
2020-01-01,JPM,Buy,54.48819444314004,470.38,25.63015690216421,273.41549935308075,Initial purchase
2020-01-01,BAC,Buy,34.68243258040976,93.93,3.257720892277889,10.684003451484084,Initial purchase
2020-01-01,WFC,Buy,66.07146436997535,328.14,21.68069031836371,208.79049324654144,Initial purchase
2020-01-01,GS,Buy,46.84013535554599,1268.65,59.42373771881342,1083.3462032325604,Initial purchase
2020-01-01,MS,Buy,165.59915084372687,129.53,21.45005800878794,205.23254543176054,Initial purchase
2020-01-01,C,Buy,34.70723261122454,507.24,17.604896669717537,149.54764559979876,Initial purchase
2020-01-01,BRK-B,Buy,54.648466375894635,726.99,39.728888570611645,557.7515746826273,Initial purchase
2020-01-01,AXP,Buy,341.6032830454659,264.46,90.3404042342039,2182.8392370442557,Initial purchase
2020-01-31,AAPL,Buy,163.8423207283868,216.04,35.39649497016068,461.80488896483047,Rebalancing
2020-01-31,AMZN,Buy,3.826382197926181,8315.72,31.8191229709387,388.22098452551967,Rebalancing
2020-01-31,TSLA,Sell,0.6289369120670747,90804.87,57.11053453845215,1014.2807341751478,Rebalancing
2020-01-31,META,Buy,84.31265934421513,470.84,39.69777252563025,557.036253561495,Rebalancing
2020-01-31,NVDA,Sell,7.238933650627097,12632.01,91.442282264058,2227.8943436911277,Rebalancing
2020-01-31,CRM,Sell,99.74378947045277,430.17,42.90678591650467,632.7744851107807,Rebalancing
2020-01-31,ADBE,Sell,79.30365388573519,1009.92,80.09034613228168,1782.743310749833,Rebalancing
2020-01-31,AMD,Buy,14.552530874322343,2413.11,35.116857778135994,455.8671016325391,Rebalancing
2020-01-31,JPM,Buy,54.19612895434039,403.36,21.86055057502274,211.58197283420367,Rebalancing
2020-01-31,BAC,Buy,512.8932442320772,80.06,41.0622331332201,588.7557375172792,Rebalancing
2020-01-31,WFC,Buy,123.62524132283168,231.1,28.569793269706402,325.9322013460143,Rebalancing
2020-01-31,MS,Buy,242.69840606795893,107.37,26.05852785951675,280.83743987336186,Rebalancing
2020-01-31,C,Buy,91.36445716419806,347.73,31.770162689706595,387.2499935789432,Rebalancing
2020-01-31,BRK-B,Buy,26.74874236859588,538.58,14.406337664878372,108.65193551731912,Rebalancing
2020-01-31,AXP,Sell,137.21655785730937,214.49,29.431579494814287,342.0236553267064,Rebalancing
